x_m,T_c_K,T_w_K,h_W_m2K,Re,Nu,f,dP_cum_Pa,T_sat_K,DeltaT_sat_K
0.0,560.0,567.6572175596333,86603.99042494874,964575.4126781535,1791.8066984472157,0.011683307084692212,0.0,584.1471469665152,16.489929406881856
0.03,560.0780129945366,567.5947734861318,88222.25970319643,1010019.603158332,1826.738089434411,0.011592929702580723,5811.836762845917,584.1471469665152,16.55237348038338
0.06,560.1560257616669,567.6700082696068,88254.87622781882,1010948.448805925,1827.442435236303,0.011591135852288454,11622.814182830049,584.1471469665152,16.477138696908355
0.09,560.2340362904695,567.7452410857998,88287.51369267837,1011878.4029949887,1828.1472449157466,0.011589341927962729,17432.93222194373,584.1471469665152,16.40190588071539
0.12,560.312044581134,567.8204727556237,88320.1624634711,1012809.1920641832,1828.8523104322683,0.011587548459674694,23242.191096109535,584.1471469665152,16.326674210891497
0.15,560.3900506338385,567.8957032788015,88352.82254385494,1013740.8167447322,1829.5576318730837,0.011585755447265844,29050.591021175467,584.1471469665152,16.251443687713618
0.18,560.4680544487608,567.970932655061,88385.49393743093,1014673.2777668332,1830.2632093241848,0.011583962890580888,34858.1322129165,584.1471469665152,16.176214311454146
0.21,560.5460560260785,568.04616088413,88418.17664780146,1015606.5758613086,1830.9690428715953,0.011582170789464602,40664.8148870346,584.1471469665152,16.100986082385134
0.24,560.6240553659696,568.1213879657367,88450.8706785698,1016540.7117595975,1831.6751326013632,0.011580379143761838,46470.639259158765,584.1471469665152,16.025759000778407
0.27,560.7020524686119,568.1966138996097,88483.57603334036,1017475.6861937625,1832.3814785995637,0.0115785879533175,52275.605544845064,584.1471469665152,15.95053306690545
0.3,560.7800473341831,568.2718386854772,88516.29271571865,1018411.4998964889,1833.0880809523007,0.011576797217976555,58079.71395957664,584.1471469665152,15.875308281037974
0.32999999999999996,560.8580399628609,568.3470623230677,88549.02072931109,1019348.1536010808,1833.7949397457019,0.011575006937584044,63882.96471876377,584.1471469665152,15.800084643447462
0.36,560.936030354823,568.4222848121103,88581.76007772534,1020285.6480414689,1834.5020550659249,0.011573217111985069,69685.35803774386,584.1471469665152,15.724862154404832
0.39,561.0140185102471,568.4975061523339,88614.51076456982,1021223.9839522007,1835.209426999149,0.011571427741024798,75486.89413178155,584.1471469665152,15.649640814181225
0.42,561.0920044293109,568.5727263434677,88647.27279345438,1022163.1620684542,1835.917055631587,0.011569638824548457,81287.57321606862,584.1471469665152,15.574420623047445
0.44999999999999996,561.1699881121922,568.6479453852411,88680.04616798964,1023103.1831260285,1836.624941049473,0.011567850362401344,87087.39550572413,584.1471469665152,15.499201581274065
0.48,561.2479695590686,568.7231632773836,88712.83089178742,1024044.0478613472,1837.3330833390714,0.011566062354428816,92886.36121579442,584.1471469665152,15.423983689131546
0.51,561.3259487701176,568.7983800196248,88745.62696846055,1024985.7570114596,1838.0414825866712,0.0115642748004763,98684.47056125311,584.1471469665152,15.34876694689035
0.54,561.403925745517,568.8735956116946,88778.43440162299,1025928.3113140422,1838.750138878591,0.011562487700389274,104481.72375700116,584.1471469665152,15.273551354820597
0.57,561.4819004854442,568.948810053323,88811.25319488946,1026871.711507391,1839.4590523011698,0.011560701054013306,110278.12101786691,584.1471469665152,15.198336913192179
0.6,561.5598729900768,569.0240233442402,88844.08335187614,1027815.9583304371,1840.168222940781,0.011558914861194005,116073.66255860607,584.1471469665152,15.123123622274989
0.63,561.6378432595925,569.0992354841767,88876.9248762001,1028761.0525227365,1840.8776508838223,0.011557129121777046,121868.34859390177,584.1471469665152,15.047911482338463
0.6599999999999999,561.7158112941687,569.1744464728628,88909.77777147933,1029706.9948244696,1841.5873362167151,0.011555343835608184,127662.1793383646,584.1471469665152,14.972700493652383
0.69,561.7937770939831,569.2496563100294,88942.64204133306,1030653.7859764468,1842.2972790259112,0.011553559002533223,133455.15500653262,584.1471469665152,14.89749065648573
0.72,561.871740659213,569.3248649954074,88975.51768938152,1031601.4267201104,1843.0074793978888,0.011551774622398037,139247.27581287143,584.1471469665152,14.822281971107714
0.75,561.9497019900359,569.4000725287277,89008.40471924601,1032549.9177975274,1843.7179374191517,0.011549990695048562,145038.54197177416,584.1471469665152,14.747074437787433
0.78,562.0276610866295,569.4752789097217,89041.30313454889,1033499.259951398,1844.4286531762318,0.0115482072203308,150828.9536975615,584.1471469665152,14.671868056793414
0.8099999999999999,562.1056179491709,569.5504841381206,89074.21293891355,1034449.4539250508,1845.1396267556875,0.011546424198090816,156618.51120448174,584.1471469665152,14.596662828394528
0.84,562.1835725778378,569.6256882136562,89107.13413596444,1035400.5004624459,1845.8508582441038,0.011544641628174743,162407.21470671083,584.1471469665152,14.521458752858962
0.87,562.2615249728076,569.7008911360601,89140.06672932707,1036352.4003081738,1846.5623477280915,0.011542859510428771,168195.06441835235,584.1471469665152,14.446255830455016
0.8999999999999999,562.3394751342576,569.7760929050643,89173.01072262802,1037305.1542074592,1847.2740952942906,0.011541077844699158,173982.0605534376,584.1471469665152,14.371054061450877
0.9299999999999999,562.4174230623651,569.8512935204005,89205.96611949503,1038258.7629061581,1847.9861010293685,0.011539296630832226,179768.20332592557,584.1471469665152,14.29585344611462
0.96,562.4953687573076,569.9264929818015,89238.9329235566,1039213.2271507557,1848.6983650200132,0.011537515868674362,185553.49294970304,584.1471469665152,14.220653984713636
0.99,562.5733122192623,570.0016912889994,89271.91113844271,1040168.5476883788,1849.4108873529492,0.011535735558072009,191337.92963858452,584.1471469665152,14.14545567751577
1.02,562.6512534484067,570.0768884417267,89304.90076778401,1041124.7252667802,1850.1236681149207,0.011533955698871688,197121.5136063124,584.1471469665152,14.070258524788414
1.05,562.729192444918,570.1520844397164,89337.90181521243,1042081.7606343501,1850.8367073927006,0.011532176290919975,202904.24506655685,584.1471469665152,13.995062526798733
1.08,562.8071292089735,570.2272792827014,89370.91428436105,1043039.6545401189,1851.5500052730931,0.0115303973340635,208686.12423291593,584.1471469665152,13.919867683813777
1.1099999999999999,562.8850637407505,570.3024729704147,89403.93817886367,1043998.4077337425,1852.263561842921,0.011528618828148984,214467.15131891562,584.1471469665152,13.844673996100482
1.14,562.9629960404262,570.3776655025896,89436.9735023555,1044958.0209655204,1852.9773771890418,0.011526840773023182,220247.32653800983,584.1471469665152,13.769481463925558
1.17,563.0409261081778,570.4528568789594,89470.02025847258,1045918.4949863866,1853.6914513983354,0.011525063168532931,226026.6501035804,584.1471469665152,13.694290087555714
1.2,563.1188539441827,570.5280470992581,89503.07845085219,1046879.830547912,1854.4057845577117,0.011523286014525121,231805.12222893722,584.1471469665152,13.619099867257091
1.23,563.1967795486178,570.603236163219,89536.14808313246,1047842.0284023039,1855.1203767541037,0.01152150931084672,237582.74312731813,584.1471469665152,13.543910803296171
1.26,563.2747029216605,570.6784240705764,89569.22915895289,1048805.089302412,1855.8352280744766,0.011519733057344743,243359.51301188904,584.1471469665152,13.468722895938754
1.29,563.3526240634878,570.7536108210642,89602.32168195373,1049769.0140017192,1856.550338605818,0.011517957253866278,249135.43209574395,584.1471469665152,13.39353614545098
1.3199999999999998,563.430542974277,570.8287964144167,89635.42565577642,1050733.8032543506,1857.265708435144,0.01151618190025848,254910.50059190497,584.1471469665152,13.318350552098423
1.3499999999999999,563.5084596542052,570.9039808503685,89668.54108406349,1051699.4578150716,1857.9813376494988,0.01151440699636855,260684.71871332236,584.1471469665152,13.243166116146654
1.38,563.5863741034494,570.9791641286541,89701.66797045855,1052665.9784392864,1858.6972263359528,0.011512632542043776,266458.0866728745,584.1471469665152,13.167982837861018
1.41,563.6642863221867,571.0543462490084,89734.80631860616,1053633.3658830386,1859.413374581602,0.0115108585371315,272230.6046833681,584.1471469665152,13.092800717506748
1.44,563.7421963105943,571.1295272111662,89767.95613215205,1054601.6209030182,1860.1297824735727,0.011509084981479113,278002.27295753796,584.1471469665152,13.01761975534896
1.47,563.8201040688491,571.2047070148627,89801.11741474303,1055570.7442565528,1860.8464500990158,0.01150731187493409,283773.09170804714,584.1471469665152,12.942439951652432
1.5,563.8980095971282,571.2798856598333,89834.2901700269,1056540.7367016135,1861.56337754511,0.011505539217343956,289543.0611474871,584.1471469665152,12.867261306681826
1.53,563.9759128956085,571.3550631458133,89867.47440165257,1057511.598996814,1862.280564899061,0.011503767008556315,295312.18148837745,584.1471469665152,12.792083820701805
1.56,564.0538139644673,571.4302394725386,89900.67011327001,1058483.3319014134,1862.9980122481024,0.011501995248418807,301080.4529431663,584.1471469665152,12.716907493976578
1.5899999999999999,564.1317128038812,571.5054146397447,89933.87730853021,1059455.9361753105,1863.7157196794922,0.011500223936779167,306847.87572423014,584.1471469665152,12.641732326770466
1.6199999999999999,564.2096094140275,571.5805886471678,89967.09599108528,1060429.4125790545,1864.4336872805188,0.011498453073485173,312614.45004387375,584.1471469665152,12.566558319347337
1.65,564.2875037950828,571.6557614945438,90000.32616458835,1061403.761873832,1865.151915138494,0.011496682658384676,318380.17611433036,584.1471469665152,12.491385471971398
1.68,564.3653959472242,571.7309331816092,90033.56783269369,1062378.9848214826,1865.8704033407614,0.011494912691325574,324145.0541477618,584.1471469665152,12.416213784905949
1.71,564.4432858706286,571.8061037081004,90066.82099905665,1063355.0821844905,1866.5891519746892,0.011493143172155844,329909.0843562582,584.1471469665152,12.341043258414743
1.74,564.521173565473,571.8812730737541,90100.08566733351,1064332.0547259816,1867.3081611276716,0.011491374100723532,335672.26695183845,584.1471469665152,12.265873892761078
1.77,564.5990590319341,571.9564412783071,90133.36184118169,1065309.9032097338,1868.0274308871312,0.011489605476876724,341434.6021464498,584.1471469665152,12.190705688208027
1.7999999999999998,564.6769422701888,572.0316083214965,90166.64952425972,1066288.6284001712,1868.7469613405178,0.011487837300463587,347196.09015196806,584.1471469665152,12.11553864501866
1.8299999999999998,564.7548232804138,572.1067742030591,90199.94872022714,1067268.2310623652,1869.4667525753073,0.011486069571332351,352956.73118019785,584.1471469665152,12.040372763456048
1.8599999999999999,564.8327020627861,572.1819389227325,90233.2594327446,1068248.7119620377,1870.1868046790044,0.0114843022893313,358716.5254428723,584.1471469665152,11.965208043782695
1.89,564.9105786174824,572.257102480254,90266.58166547386,1069230.0718655612,1870.9071177391413,0.011482535454308777,364475.47315165325,584.1471469665152,11.890044486261104
1.92,564.9884529446796,572.3322648753616,90299.9154220776,1070212.3115399526,1871.6276918432743,0.011480769066113205,370233.57451813115,584.1471469665152,11.81488209115355
1.95,565.0663250445543,572.4074261077928,90333.2607062197,1071195.4317528848,1872.3485270789897,0.01147900312459306,375990.8297538253,584.1471469665152,11.739720858722308
1.98,565.1441949172834,572.4825861772857,90366.6175215651,1072179.433272678,1873.0696235338999,0.01147723762959688,381747.2390701838,584.1471469665152,11.664560789229427
2.01,565.2220625630434,572.5577450835785,90399.98587177979,1073164.3168683057,1873.7909812956455,0.011475472580973265,387502.8026785833,584.1471469665152,11.589401882936613
2.04,565.2999279820112,572.6329028264093,90433.36576053078,1074150.0833093938,1874.5126004518925,0.011473707978570884,393257.52079032955,584.1471469665152,11.514244140105802
2.07,565.3777911743634,572.7080594055169,90466.75719148622,1075136.7333662184,1875.2344810903357,0.01147194382223846,399011.39361665695,584.1471469665152,11.439087560998246
2.1,565.4556521402768,572.78321482064,90500.16016831534,1076124.2678097116,1875.9566232986972,0.011470180111824789,404764.42136872886,584.1471469665152,11.363932145875197
2.13,565.5335108799279,572.858369071517,90533.57469468824,1077112.6874114547,1876.679027164722,0.011468416847178723,410516.6042576376,584.1471469665152,11.288777894998134
2.16,565.6113673934933,572.9335221578872,90567.00077427649,1078101.9929436895,1877.4016927761916,0.011466654028149172,416267.94249440427,584.1471469665152,11.21362480862797
2.19,565.6892216811498,573.0086740794897,90600.43841075238,1079092.1851793074,1878.1246202209052,0.011464891654585122,422018.4362899791,584.1471469665152,11.1384728870255
2.2199999999999998,565.7670737430738,573.0838248360639,90633.88760778937,1080083.2648918545,1878.8478095866935,0.011463129726335614,427768.0858552412,584.1471469665152,11.063322130451297
2.25,565.8449235794419,573.1589744273491,90667.34836906203,1081075.232855536,1879.5712609614145,0.011461368243249751,433516.8914009988,584.1471469665152,10.988172539166044
2.28,565.9227711904308,573.2341228530851,90700.820698246,1082068.0898452126,1880.2949744329533,0.011459607205176697,439264.8531379891,584.1471469665152,10.913024113430083
2.31,566.000616576217,573.3092701130118,90734.30459901803,1083061.8366364022,1881.0189500892227,0.011457846611965675,445011.97127687844,584.1471469665152,10.837876853503303
2.34,566.0784597369769,573.3844162068691,90767.80007505578,1084056.4740052773,1881.7431880181612,0.011456086463465992,450758.2460282622,584.1471469665152,10.762730759646047
2.37,566.1563006728871,573.4595611343971,90801.30713003826,1085052.002728671,1882.4676883077366,0.011454326759526987,456503.677602665,584.1471469665152,10.687585832118089
2.4,566.2341393841241,573.5347048953362,90834.82576764516,1086048.4235840715,1883.1924510459398,0.011452567499998087,462248.26621054055,584.1471469665152,10.612442071178975
2.4299999999999997,566.3119758708643,573.6098474894269,90868.35599155768,1087045.7373496317,1883.9174763207961,0.01145080868472877,467992.0120622718,584.1471469665152,10.537299477088254
2.46,566.3898101332842,573.6849889164098,90901.89780545776,1088043.9448041571,1884.6427642203505,0.011449050313568571,473734.91536817094,584.1471469665152,10.462158050105359
2.4899999999999998,566.4676421715602,573.7601291760259,90935.45121302859,1089043.0467271209,1885.368314832681,0.011447292386367096,479476.9763384794,584.1471469665152,10.387017790489267
2.52,566.5454719858687,573.835268268016,90969.01621795444,1090043.043898652,1886.094128245892,0.011445534902974008,485218.1951833678,584.1471469665152,10.311878698499186
2.55,566.6232995763862,573.9104061921212,91002.59282392052,1091043.9370995394,1886.8202045481114,0.01144377786323904,490958.57211293635,584.1471469665152,10.23674077439398
2.58,566.701124943289,573.9855429480831,91036.18103461321,1092045.7271112353,1887.5465438274973,0.011442021267011982,496698.1073372143,584.1471469665152,10.161604018432058
2.61,566.7789480867534,574.060678535643,91069.78085372008,1093048.4147158598,1888.2731461722385,0.011440265114142678,502436.80106616043,584.1471469665152,10.086468430872173
2.6399999999999997,566.8567690069558,574.1358129545425,91103.3922849294,1094052.0006961823,1889.000011670542,0.011438509404481061,508174.6535096629,584.1471469665152,10.011334011972622
2.67,566.9345877040726,574.2109462045236,91137.01533193099,1095056.4858356505,1889.7271404106523,0.01143675413787709,513911.6648775393,584.1471469665152,9.936200761991586
2.6999999999999997,567.0124041782799,574.2860782853281,91170.64999841545,1096061.8709183675,1890.4545324808355,0.011434999314180813,519647.83537953673,584.1471469665152,9.861068681187021
2.73,567.0902184297541,574.3612091966983,91204.2962880745,1097068.1567291007,1891.182187969385,0.011433244933242326,525383.1652253317,584.1471469665152,9.785937769816883
2.76,567.1680304586716,574.4363389383766,91237.95420460103,1098075.3440532866,1891.910106964625,0.0114314909949118,531117.6546245302,584.1471469665152,9.710808028138558
2.79,567.2458402652086,574.5114675101053,91271.62375168891,1099083.4336770254,1892.638289554904,0.011429737499039447,536851.303786668,584.1471469665152,9.635679456409889
2.82,567.3236478495412,574.5865949116271,91305.30493303314,1100092.426387081,1893.366735828599,0.011427984445475568,542584.1129212101,584.1471469665152,9.560552054888035
2.85,567.4014532118457,574.6617211426849,91338.99775232973,1101102.3229708858,1894.0954458741132,0.011426231834070509,548316.0822375515,584.1471469665152,9.485425823830269
2.88,567.4792563522982,574.7368462030215,91372.70221327581,1102113.12421654,1894.8244197798788,0.011424479664674676,554047.2119450164,584.1471469665152,9.410300763493638
2.9099999999999997,567.557057271075,574.8119700923802,91406.41831956973,1103124.830912813,1895.553657634357,0.011422727937138546,559777.5022528592,584.1471469665152,9.335176874134959
2.94,567.6348559683522,574.8870928105042,91440.14607491072,1104137.4438491387,1896.2831595260336,0.011420976651312652,565506.9533702635,584.1471469665152,9.260054156010938
2.9699999999999998,567.712652444306,574.9622143571371,91473.88548299909,1105150.9638156195,1897.0129255434206,0.011419225807047592,571235.5655063428,584.1471469665152,9.184932609378052
3.0,567.7904466991124,575.0373347320225,91507.63654753637,1106165.3916030328,1897.7429557750615,0.011417475404194025,576963.3388701405,584.1471469665152,9.109812234492665
3.03,567.8682387329476,575.1124539349041,91541.39927222504,1107180.7280028188,1898.4732503095238,0.01141572544260268,582690.2736706296,584.1471469665152,9.034693031611027
3.06,567.9460285459877,575.1875719655261,91575.1736607688,1108196.9738070949,1899.2038092354057,0.011413975922124321,588416.3701167129,584.1471469665152,8.959575000989048
3.09,568.0238161384087,575.2626888236325,91608.95971687225,1109214.1298086438,1899.9346326413292,0.01141222684260981,594141.6284172231,584.1471469665152,8.884458142882636
3.12,568.1016015103868,575.3378045089676,91642.75744424132,1110232.1968009255,1900.6657206159489,0.011410478203910033,599866.0487809229,584.1471469665152,8.809342457547586
3.15,568.1793846620978,575.4129190212758,91676.56684658273,1111251.1755780654,1901.3970732479406,0.011408730005875977,605589.6314165046,584.1471469665152,8.734227945239354
3.1799999999999997,568.2571655937179,575.4880323603018,91710.38792760437,1112271.0669348633,1902.12869062601,0.011406982248358667,611312.3765325908,584.1471469665152,8.659114606213393
3.21,568.334944305423,575.5631445257904,91744.2206910155,1113291.8716668005,1902.8605728388948,0.011405234931209183,617034.2843377338,584.1471469665152,8.584002440724703
3.2399999999999998,568.4127207973892,575.6382555174865,91778.06514052596,1114313.5905700186,1903.5927199753519,0.011403488054278686,622755.3550404157,584.1471469665152,8.508891449028624
3.27,568.4904950697922,575.7133653351353,91811.92127984713,1115336.224441346,1904.3251321241744,0.011401741617418394,628475.5888490491,584.1471469665152,8.433781631379816
3.3,568.5682671228083,575.7884739784821,91845.78911269105,1116359.7740782741,1905.057809374174,0.011399995620479579,634194.9859719762,584.1471469665152,8.35867298803305
3.33,568.6460369566131,575.8635814472723,91879.66864277137,1117384.2402789826,1905.7907518142001,0.01139825006331357,639913.5466174696,584.1471469665152,8.28356551924287
3.36,568.7238045713827,575.9386877412516,91913.55987380235,1118409.6238423185,1906.523959533121,0.01139650494577177,645631.2709937318,584.1471469665152,8.208459225263596
3.3899999999999997,568.801569967293,576.0137928601656,91947.46280949951,1119435.9255678046,1907.2574326198358,0.011394760267705646,651348.1593088955,584.1471469665152,8.133354106349543
3.42,568.8793331445197,576.0888968037605,91981.37745357952,1120463.1462556475,1907.9911711632724,0.011393016028966715,657064.2117710235,584.1471469665152,8.058250162754689
